account_number,balance,transaction_date,transaction_amount,transaction_type,branch_location,customer_id,account_type,interest_rate,last_updated
6399863899426446,Yuan Renminbi,11/1/2021,7381.81,withdrawal,1st Floor,52,checking,7.25,9/27/2021
5100136109499590,Euro,1/24/2021,7350.15,withdrawal,Room 474,53,savings,7.85,6/6/2021
67639035428924751,Euro,4/24/2021,2703.47,deposit,PO Box 94708,54,investment,0.24,11/18/2021
201709136329698,Real,4/9/2021,4880.56,transfer,12th Floor,55,savings,2.47,11/20/2021
6762949550996261,Peso,6/27/2021,1475.57,withdrawal,Suite 94,56,investment,0.18,4/23/2021
3532395001410138,Ruble,2/21/2021,3098.02,withdrawal,PO Box 55508,57,savings,7.95,9/26/2021
3559371755988973,Real,5/13/2021,626.34,deposit,PO Box 29120,58,checking,8.83,7/31/2021
3574306048337621,Dalasi,3/11/2021,6824.36,transfer,Suite 60,59,savings,8.4,6/22/2021
4017953208376114,Real,9/1/2021,3583.84,withdrawal,Apt 1822,60,checking,6.97,2/10/2021
5641829125154662,Sol,8/20/2021,2082.23,withdrawal,8th Floor,61,checking,8.78,2/26/2021
3583172650716034,Ruble,9/27/2021,6056.55,transfer,Apt 1808,62,checking,3.47,8/29/2021
3530580686158555,Peso,5/29/2021,3438.72,withdrawal,Suite 49,63,checking,1.64,7/6/2021
5239285574543764,Rupiah,6/2/2021,2396.67,deposit,6th Floor,64,savings,3.24,5/25/2021
374288845984938,Euro,5/20/2021,2176.64,transfer,Room 1930,65,investment,5.51,1/10/2021
3537495669876466,Zloty,10/31/2021,4957.06,deposit,15th Floor,66,checking,4.58,11/26/2021
3532123128033264,Hryvnia,3/12/2021,5760.17,deposit,Room 617,67,savings,6.49,3/17/2021
3549531215406121,Bolivar,2/26/2021,1191.0,transfer,PO Box 35220,68,investment,6.11,8/30/2021
503889877469837975,Dollar,5/7/2021,4794.53,withdrawal,Room 1075,69,savings,1.1,6/7/2021
3581271987399423,Yuan Renminbi,11/7/2021,3086.72,transfer,Suite 18,70,checking,6.59,6/14/2021
4041595136714,Krona,4/26/2021,8104.26,deposit,Apt 1001,71,investment,3.4,6/5/2021
3532887911957760,Yuan Renminbi,12/23/2021,6835.2,transfer,Apt 1654,72,investment,6.13,11/1/2021
5641821056297079936,Dollar,5/29/2021,4824.9,deposit,Room 1651,73,investment,1.36,7/11/2021
30076410553345,Dollar,1/11/2021,2032.84,withdrawal,PO Box 79975,74,savings,7.87,3/16/2021
4508624302008558,Yuan Renminbi,12/24/2021,8800.66,deposit,Room 1446,75,checking,0.62,3/28/2021
50180733261445582,Rupiah,3/2/2021,1344.42,withdrawal,17th Floor,76,investment,5.84,11/29/2021
5602258522647184,Ruble,7/2/2021,7563.04,transfer,15th Floor,77,savings,2.25,4/10/2021
6370231793538117,Rupiah,3/11/2021,9266.15,withdrawal,PO Box 37209,78,investment,1.38,6/29/2021
3587086485214955,Yen,10/14/2021,5462.84,transfer,PO Box 44347,79,investment,7.51,11/12/2021
4017953673894,Koruna,8/13/2021,7687.83,withdrawal,Suite 29,80,investment,2.5,12/11/2021
3588394579062531,Yuan Renminbi,3/29/2021,8558.17,withdrawal,PO Box 3748,81,checking,9.17,2/13/2021
3576640717585310,Rupiah,1/12/2021,8882.3,deposit,PO Box 57308,82,investment,2.23,3/28/2021
4844201125278461,Yuan Renminbi,7/21/2021,3304.61,transfer,Suite 85,83,investment,0.77,6/12/2021
50206036258608661,Dollar,8/13/2021,1819.06,transfer,15th Floor,84,checking,0.25,11/18/2021
5893284898167753,Euro,6/22/2021,6408.68,transfer,Suite 5,85,investment,2.33,12/4/2021
30034164528195,Yuan Renminbi,10/8/2021,2686.56,withdrawal,Room 1064,86,checking,4.45,8/2/2021
4903166117539548910,Rupiah,8/10/2021,4853.01,transfer,Room 770,87,investment,1.14,7/28/2021
3532557501806574,Yuan Renminbi,3/16/2021,6658.2,transfer,PO Box 5904,88,investment,4.48,12/28/2021
3528529550462621,Peso,11/30/2021,7768.28,withdrawal,12th Floor,89,savings,9.96,1/15/2021
3589050798139570,Pound,11/1/2021,3471.03,deposit,Apt 1503,90,checking,1.95,6/14/2021
5641824231633991774,Yuan Renminbi,6/25/2021,2762.75,transfer,Suite 62,91,checking,3.6,12/19/2021
5602235221103230,Pound,3/30/2021,4259.69,deposit,19th Floor,92,savings,4.85,7/16/2021
633309856245811667,Won,9/21/2021,3987.33,deposit,Suite 25,93,checking,3.67,8/29/2021
6304377393597846,Ruble,4/7/2021,8228.41,transfer,Apt 270,94,investment,7.91,7/9/2021
675981933577553260,Hryvnia,5/2/2021,6171.33,withdrawal,8th Floor,95,investment,8.55,10/3/2021
3539196214018061,Euro,4/23/2021,5775.82,deposit,Apt 839,96,savings,9.79,10/5/2021
4405958378700969,Sol,10/19/2021,2848.85,transfer,Suite 66,97,savings,5.89,11/3/2021
201844766859969,Yuan Renminbi,7/9/2021,708.72,deposit,Apt 813,98,investment,3.31,7/11/2021
3557139402335191,Dirham,12/8/2021,8287.22,deposit,Suite 12,99,investment,9.64,8/20/2021
6334362255307415025,Yuan Renminbi,12/13/2021,2124.66,deposit,17th Floor,100,savings,4.67,4/22/2021
3555825880215820,Euro,7/2/2021,958.32,transfer,Apt 51,101,savings,9.85,8/4/2021
3574151531557685,Hryvnia,8/16/2021,1997.04,deposit,Suite 64,102,savings,8.77,10/19/2021
3586166333477508,Real,2/9/2021,9775.79,transfer,Suite 57,103,checking,2.15,7/8/2021
3540692844095922,Rupiah,5/8/2021,364.71,withdrawal,Room 1100,104,checking,2.92,2/7/2021
3540568904870125,Rupiah,11/12/2021,5119.89,transfer,PO Box 60439,105,savings,5.01,8/6/2021
5010123913033749,Franc,6/25/2021,3757.94,transfer,Apt 63,106,investment,9.62,2/13/2021
5038924054511937224,Quetzal,12/11/2021,385.65,deposit,7th Floor,107,investment,3.1,6/26/2021
3533985613104019,Rupiah,2/5/2021,3456.59,withdrawal,PO Box 1051,108,investment,0.56,9/24/2021
201927549465004,Yuan Renminbi,7/19/2021,8644.62,withdrawal,Suite 47,109,checking,0.58,6/22/2021
4175007631353543,Franc,1/10/2021,7696.87,withdrawal,3rd Floor,110,savings,1.77,8/6/2021
5002350895218465,Kwacha,6/29/2021,6458.96,transfer,18th Floor,111,savings,8.04,2/21/2021
3575407076560396,Dollar,3/3/2021,8081.52,deposit,Apt 1011,112,savings,8.32,3/2/2021
3531804293217078,Yen,5/24/2021,4331.03,deposit,9th Floor,113,checking,4.47,4/1/2021
4508876182364416,Rial,6/12/2021,1056.11,withdrawal,PO Box 17155,114,investment,4.55,7/14/2021
5100141573560216,Ruble,7/11/2021,1791.84,transfer,Suite 53,115,savings,6.7,3/3/2021
4508289811466695,Yuan Renminbi,6/4/2021,2979.51,deposit,5th Floor,116,checking,9.81,9/24/2021
201414521862680,Rupiah,12/30/2021,4735.81,withdrawal,PO Box 58269,117,savings,2.65,10/3/2021
3561021374077692,Yuan Renminbi,3/5/2021,3721.17,withdrawal,20th Floor,118,savings,9.08,6/12/2021
30597780248240,Yuan Renminbi,6/23/2021,648.39,deposit,Suite 30,119,savings,8.38,6/1/2021
5602230964230183,Boliviano,1/4/2021,9265.87,transfer,Apt 1002,120,checking,7.31,8/13/2021
3580197615201411,Yuan Renminbi,11/22/2021,6682.2,deposit,16th Floor,121,investment,4.04,5/19/2021
3579795885345660,Dong,3/7/2021,3991.98,deposit,1st Floor,122,checking,1.42,11/19/2021
3536796268626413,Peso,9/16/2021,8316.38,deposit,19th Floor,123,savings,5.75,11/21/2021
3572253578899277,Dollar,2/21/2021,2001.89,transfer,12th Floor,124,savings,3.69,7/30/2021
5100149270650545,Birr,5/17/2021,6909.87,transfer,Room 728,125,checking,5.8,10/31/2021
3576342022819894,Zloty,9/26/2021,9797.06,deposit,Apt 353,126,checking,5.95,9/29/2021
5602236690821864,Dong,9/14/2021,7597.19,transfer,9th Floor,127,investment,8.39,3/21/2021
3558866966203832,Euro,6/28/2021,2713.49,withdrawal,Suite 35,128,checking,9.09,3/14/2021
5002352067774747,Euro,2/13/2021,7504.47,withdrawal,Suite 24,129,checking,0.47,3/29/2021
633422798663763602,Euro,2/6/2021,3555.67,deposit,15th Floor,130,savings,7.18,7/13/2021
348901326412640,Naira,5/21/2021,9014.7,transfer,Apt 1211,131,investment,6.86,8/24/2021
3574504684267397,Yuan Renminbi,9/8/2021,214.22,deposit,Apt 781,132,savings,3.33,1/16/2021
3550968519267062,Peso,5/7/2021,9528.04,deposit,Suite 23,133,savings,5.89,11/21/2021
3541865217614599,Rupiah,3/14/2021,7079.18,deposit,Room 140,134,checking,0.89,12/17/2021
3579606923973068,Sol,5/9/2021,2539.72,transfer,Apt 152,135,checking,9.47,7/15/2021
3555554691288293,Yuan Renminbi,12/26/2021,3800.73,transfer,1st Floor,136,savings,1.86,12/7/2021
5361523398321987,Ruble,5/18/2021,9802.82,transfer,Suite 59,137,investment,6.59,3/22/2021
3561784415401318,Rupiah,6/7/2021,7984.25,withdrawal,Apt 1000,138,investment,5.77,5/10/2021
5602238917051945,Zloty,9/26/2021,9939.12,withdrawal,PO Box 50246,139,savings,4.66,8/12/2021
30167767030548,Yuan Renminbi,2/26/2021,173.12,withdrawal,15th Floor,140,savings,9.76,2/3/2021
4844351885670116,Rupiah,5/9/2021,8685.64,withdrawal,PO Box 98633,141,savings,8.47,4/21/2021
670671943568652381,Zloty,6/11/2021,1497.79,withdrawal,Suite 57,142,savings,5.39,10/6/2021
3557984171455013,Won,5/11/2021,4465.58,deposit,Room 80,143,savings,9.37,7/17/2021
3553742289511679,Peso,11/12/2021,3449.01,withdrawal,Apt 1312,144,investment,6.83,4/16/2021
4041370720583,Ruble,9/13/2021,5768.27,transfer,6th Floor,145,investment,0.38,3/28/2021
3537675707813593,Rupee,7/15/2021,789.67,withdrawal,Room 226,146,savings,9.64,2/24/2021
5100142095506919,Ruble,10/5/2021,151.46,transfer,Suite 81,147,checking,4.14,11/12/2021
5260379193057611,Yuan Renminbi,11/16/2021,2994.35,withdrawal,Apt 839,148,savings,6.94,12/29/2021
4913280906924812,Zloty,8/19/2021,8124.79,withdrawal,PO Box 90530,149,savings,6.02,3/15/2021
3577072798122087,Peso,9/22/2021,8283.51,deposit,Apt 41,150,investment,0.54,1/9/2021
6333996727258078842,Lev,11/17/2021,3131.46,transfer,Suite 20,151,investment,8.72,4/10/2021
4936371931504357,Lempira,1/10/2021,5287.79,deposit,7th Floor,152,savings,6.28,9/14/2021
347498814869937,Euro,8/13/2021,9168.64,deposit,Apt 815,153,investment,6.76,11/8/2021
6333531685290111264,Yuan Renminbi,7/6/2021,359.51,withdrawal,Room 1999,154,savings,1.37,12/2/2021
5007667991371822,Peso,3/24/2021,8336.26,transfer,Apt 296,155,checking,4.78,1/5/2021
374909407054873,Denar,12/23/2021,5136.76,withdrawal,15th Floor,156,investment,7.66,3/10/2021
3567629336483743,Euro,11/18/2021,7029.91,transfer,PO Box 76853,157,investment,6.74,6/18/2021
5610606053086109,Rupiah,10/10/2021,1254.09,withdrawal,PO Box 74836,158,investment,0.08,9/28/2021
3573525690241028,Rand,12/1/2021,6104.47,transfer,4th Floor,159,investment,2.21,11/17/2021
30265173094684,Euro,3/27/2021,9503.96,transfer,Suite 27,160,savings,5.61,7/4/2021
201600275310245,Pound,10/2/2021,1218.72,deposit,Apt 611,161,investment,1.25,6/25/2021
3571853371692786,Yuan Renminbi,8/19/2021,6099.45,transfer,Suite 10,162,investment,8.98,10/23/2021
30225030250945,Peso,1/30/2021,6841.4,withdrawal,PO Box 68019,163,investment,1.35,4/30/2021
3567032329850392,Hryvnia,1/30/2021,153.88,deposit,Apt 1216,164,investment,1.45,12/4/2021
5100145067562349,Rupee,3/3/2021,9774.4,withdrawal,Suite 23,165,savings,9.7,11/24/2021
3565797533998912,Koruna,5/20/2021,3935.77,transfer,Suite 23,166,investment,7.76,6/11/2021
3575730121643788,Dollar,1/12/2021,2652.84,transfer,Apt 1430,167,savings,3.86,4/8/2021
3536843603292418,Dollar,9/8/2021,2631.01,deposit,Suite 83,168,checking,9.38,4/5/2021
4894006328686157,Peso,6/28/2021,4787.21,deposit,Suite 37,169,checking,6.0,9/13/2021
3571894237693170,Ruble,11/13/2021,1950.52,deposit,Suite 6,170,investment,9.09,8/16/2021
3539241284202797,Ruble,10/24/2021,2755.95,withdrawal,Suite 70,171,savings,0.66,2/5/2021
5100140007081328,Rial,4/28/2021,592.14,withdrawal,Room 1543,172,savings,7.53,2/22/2021
3544207083661445,Peso,2/8/2021,7229.94,withdrawal,8th Floor,173,investment,1.38,3/30/2021
3569776217196957,Shekel,8/13/2021,2410.33,deposit,PO Box 60096,174,checking,5.92,11/5/2021
3534190895620969,Shekel,5/5/2021,3103.6,deposit,Apt 1922,175,checking,4.99,8/4/2021
3561877386270876,Som,12/13/2021,9595.35,deposit,Room 653,176,investment,9.28,11/12/2021
4508024130470155,Krona,12/4/2021,3788.33,deposit,20th Floor,177,savings,6.59,3/31/2021
5602221905910728,Won,12/24/2021,4460.74,deposit,PO Box 46642,178,savings,9.68,11/14/2021
3576420333922399,Euro,10/31/2021,3088.6,transfer,Apt 1519,179,investment,9.56,6/13/2021
677165386312443343,Yuan Renminbi,4/29/2021,4350.67,deposit,Suite 65,180,savings,1.65,6/1/2021
4175007194325573,Rupiah,8/7/2021,6752.59,deposit,PO Box 53618,181,savings,0.13,1/25/2021
6759144131410352939,Real,1/3/2021,2513.53,transfer,13th Floor,182,savings,5.13,11/18/2021
3547849223785985,Peso,6/17/2021,279.6,transfer,Apt 1091,183,investment,9.63,4/25/2021
201556994333340,Yuan Renminbi,7/14/2021,8487.93,withdrawal,Room 1573,184,checking,5.13,1/2/2021
5602236106826259,Peso,10/24/2021,296.69,transfer,Apt 1757,185,investment,8.8,1/12/2021
6304105366543014368,Yuan Renminbi,9/16/2021,9065.45,transfer,Room 597,186,investment,3.12,2/4/2021
3540848501258423,Rupiah,3/4/2021,1314.03,withdrawal,PO Box 46622,187,checking,3.73,4/22/2021
5048372057711364,Kyat,3/30/2021,5061.51,withdrawal,PO Box 49821,188,savings,6.8,8/14/2021
4017955547499010,Dollar,1/18/2021,3936.46,deposit,16th Floor,189,checking,8.61,10/7/2021
201763203925490,Yuan Renminbi,10/16/2021,945.7,deposit,Suite 63,190,checking,2.77,6/7/2021
6334965471756383603,Euro,1/21/2021,464.6,withdrawal,Room 1327,191,savings,4.28,1/28/2021
5641822294925887730,Yuan Renminbi,2/4/2021,9531.98,withdrawal,2nd Floor,192,investment,9.59,5/18/2021
30574038926612,Zloty,10/19/2021,2750.73,deposit,PO Box 71459,193,investment,0.86,10/30/2021
3589644364013605,Yuan Renminbi,11/2/2021,4408.71,transfer,Suite 55,194,savings,5.09,8/14/2021
3575748234250606,Lek,2/17/2021,4305.23,deposit,Apt 230,195,savings,6.05,8/7/2021
3567266367184831,Yuan Renminbi,11/4/2021,1035.36,withdrawal,Room 867,196,savings,8.25,5/1/2021
3571883182731341,Afghani,11/22/2021,1524.63,transfer,Room 927,197,savings,2.87,5/6/2021
4917754767405695,Dinar,12/30/2021,4620.6,withdrawal,PO Box 80365,198,investment,0.32,3/3/2021
3550315846995306,Kuna,11/17/2021,9247.94,transfer,Room 1961,199,savings,9.77,9/13/2021
3528789133117056,Peso,10/8/2021,5036.6,withdrawal,PO Box 80080,200,checking,1.47,9/27/2021
3575948365127025,Yuan Renminbi,5/4/2021,498.53,deposit,Apt 797,201,savings,7.47,8/25/2021
5107444540102267,Yuan Renminbi,7/5/2021,8540.01,withdrawal,PO Box 99280,202,investment,8.6,9/29/2021
5602223000487149,Real,5/29/2021,6795.63,transfer,Suite 91,203,savings,1.04,10/30/2021
3547567630781336,Dram,12/9/2021,1049.68,transfer,Room 1533,204,checking,4.1,6/20/2021
6382087871963007,Pound,1/16/2021,9278.98,transfer,Apt 260,205,savings,3.1,11/7/2021
3569571363084853,Hryvnia,8/24/2021,2741.76,deposit,Room 1910,206,investment,4.62,1/20/2021
5602220420821030,Yuan Renminbi,3/22/2021,3299.92,withdrawal,2nd Floor,207,savings,9.62,8/31/2021
5244595136732306,Yen,8/31/2021,1613.57,withdrawal,19th Floor,208,investment,3.18,3/21/2021
6383278990665115,Ruble,7/3/2021,2478.25,withdrawal,Room 1813,209,investment,3.65,8/9/2021
4936557208473322,Zloty,3/23/2021,2181.44,deposit,Suite 74,210,investment,9.72,4/6/2021
4017954155693,Ruble,1/9/2021,962.38,withdrawal,Suite 55,211,checking,1.77,3/2/2021
560225932685239937,Rupiah,10/12/2021,2135.24,deposit,Apt 1673,212,investment,7.7,6/12/2021
6331102886730481837,Dollar,4/17/2021,9528.13,transfer,Suite 7,213,checking,2.62,10/1/2021
201487023173913,Zloty,2/22/2021,2236.78,withdrawal,Room 933,214,investment,8.64,1/17/2021
4129912989947,Krona,9/10/2021,9298.23,withdrawal,15th Floor,215,checking,9.96,1/2/2021
5591596599791796,Peso,9/8/2021,1105.77,transfer,Room 184,216,savings,1.15,2/3/2021
63046701920536098,Ruble,3/3/2021,834.71,deposit,PO Box 405,217,savings,0.86,8/1/2021
3545477058360377,Euro,9/10/2021,3095.68,transfer,Apt 1915,218,checking,2.15,2/24/2021
30292058576585,Euro,10/8/2021,7656.33,deposit,PO Box 16125,219,investment,0.57,2/14/2021
30345143047788,Ruble,3/13/2021,1334.5,transfer,Apt 898,220,checking,1.71,2/8/2021
3587294006842276,Euro,6/4/2021,3291.15,deposit,17th Floor,221,investment,9.82,11/29/2021
4083130571830113,Peso,4/25/2021,4984.79,transfer,PO Box 57788,222,investment,8.06,10/12/2021
633430313819056099,Lempira,8/13/2021,8083.11,deposit,Apt 1696,223,savings,3.7,1/1/2021
0604021139423111,Zloty,7/22/2021,8881.7,transfer,PO Box 63090,224,investment,4.2,9/19/2021
4017953585833,Peso,9/20/2021,5418.08,withdrawal,19th Floor,225,savings,9.34,8/24/2021
5610662187758238,Yuan Renminbi,9/9/2021,5954.28,deposit,Apt 1992,226,savings,5.67,9/26/2021
3528947743525106,Yuan Renminbi,5/20/2021,9192.97,transfer,Suite 32,227,savings,4.23,5/26/2021
3553585228675976,Yuan Renminbi,4/9/2021,7919.75,withdrawal,PO Box 17868,228,savings,3.48,7/24/2021
3538280433587899,Krona,8/30/2021,403.55,withdrawal,PO Box 54522,229,investment,3.9,10/30/2021
5610154715868317,Rupiah,4/13/2021,3685.1,transfer,Room 1509,230,checking,7.91,7/6/2021
344589812907795,Shekel,12/30/2021,5216.64,withdrawal,Suite 25,231,investment,8.25,3/1/2021
5002356382717661,Rupiah,7/31/2021,7159.96,transfer,Apt 1750,232,savings,0.56,10/19/2021
3552910862230188,Real,7/7/2021,7644.54,deposit,16th Floor,233,savings,0.81,8/2/2021
670635624299939439,Yuan Renminbi,9/14/2021,6728.98,withdrawal,PO Box 54493,234,investment,6.34,5/18/2021
3546573960308451,Yuan Renminbi,10/27/2021,8106.62,deposit,Room 388,235,investment,4.69,3/23/2021
3542785911325814,Rupiah,3/19/2021,1564.4,transfer,PO Box 49324,236,checking,7.8,2/8/2021
201761688250129,Rupiah,12/17/2021,9149.71,withdrawal,Apt 1003,237,investment,0.08,4/18/2021
3579199573100935,Dinar,3/19/2021,8987.1,deposit,Suite 66,238,checking,8.28,2/18/2021
201774199474625,Rupiah,5/26/2021,9159.78,withdrawal,PO Box 18711,239,checking,5.6,1/11/2021
3563624135500650,Krona,12/4/2021,3892.72,deposit,Apt 962,240,savings,8.08,12/10/2021
201942071738231,Boliviano,7/6/2021,5723.07,deposit,Suite 11,241,investment,1.8,11/14/2021
5002359169689186,Franc,1/3/2021,4767.98,deposit,PO Box 81542,242,savings,3.47,1/9/2021
3545198261171167,Yuan Renminbi,1/3/2021,2553.14,deposit,Room 590,243,savings,4.14,11/20/2021
4508587546443438,Lempira,2/28/2021,2084.51,withdrawal,Apt 433,244,checking,6.32,12/26/2021
6304217042383323,Krona,6/12/2021,5563.22,transfer,Room 493,245,investment,4.48,11/11/2021
3574210323879762,Dollar,9/3/2021,5518.38,transfer,Apt 1130,246,savings,4.4,7/16/2021
3554498243227501,Euro,10/27/2021,9216.2,withdrawal,5th Floor,247,savings,7.75,5/3/2021
4405816576903993,Rupiah,5/13/2021,1649.4,withdrawal,Suite 20,248,checking,4.03,7/26/2021
3549563984468909,Rial,2/23/2021,4442.01,transfer,Suite 58,249,checking,0.5,10/1/2021
3560666109410385,Peso,7/14/2021,4639.04,deposit,9th Floor,250,savings,9.34,5/26/2021
3584658300995357,Denar,4/20/2021,2531.22,deposit,Room 400,251,checking,3.23,7/18/2021
5602219821914402,Dollar,3/11/2021,1870.13,deposit,Apt 148,252,investment,6.08,8/31/2021
3539428229253288,Yuan Renminbi,12/27/2021,8475.16,transfer,Room 10,253,investment,1.92,8/16/2021
3572537393240786,Real,1/3/2021,8479.39,withdrawal,Suite 61,254,savings,2.57,9/12/2021
3529527974256099,Yuan Renminbi,7/27/2021,1107.13,transfer,PO Box 66094,255,checking,6.08,8/25/2021
3583093777242110,Yuan Renminbi,8/29/2021,9426.92,deposit,Room 220,256,checking,3.67,3/31/2021
30427336650493,Gourde,12/2/2021,9152.68,transfer,PO Box 58267,257,investment,2.58,12/20/2021
50381263522871027,Dollar,10/21/2021,4801.89,deposit,PO Box 87703,258,investment,9.2,4/14/2021
3556406750325954,Yuan Renminbi,7/30/2021,9312.39,withdrawal,PO Box 5933,259,checking,1.48,5/24/2021
3541411109341205,Franc,12/10/2021,5007.88,transfer,Apt 1590,260,investment,2.49,10/15/2021
3588311515967409,Dollar,8/10/2021,4678.25,withdrawal,PO Box 94943,261,savings,1.09,12/21/2021
30275072568472,Rupiah,11/9/2021,398.0,withdrawal,PO Box 16300,262,investment,7.79,11/6/2021
4905767987927912,Zloty,3/13/2021,9677.24,transfer,Apt 1042,263,checking,1.67,11/3/2021
6333275554987335265,Sol,11/3/2021,87.13,withdrawal,PO Box 12934,264,checking,5.04,2/27/2021
4917714211233259,Euro,8/23/2021,8119.94,transfer,Suite 53,265,savings,7.68,4/28/2021
201720249115254,Real,4/18/2021,6923.9,deposit,6th Floor,266,checking,6.51,2/3/2021
3576655644109398,Krona,3/1/2021,7089.21,deposit,Room 611,267,savings,7.35,9/9/2021
3586264897619670,Quetzal,8/3/2021,3493.05,deposit,Apt 385,268,checking,6.52,10/22/2021
6762043916826600,Ringgit,11/7/2021,9968.37,deposit,Room 163,269,savings,9.09,4/24/2021
